fold,epoch,train_loss,val_mae,aqi_rmse,aqi_r2,lr,time_s
3,1,104.86010361230042,174.58365858822214,197.09043075551148,-3.644364363485269,9.96057350657239e-05,202.5
3,2,79.8350762424452,174.63844010284637,197.16050304714142,-3.647667406718104,9.842915805643155e-05,202.6
3,3,65.83214449818473,174.6127913740297,197.12903525031717,-3.646183943446915,9.648882429441257e-05,202.6
3,4,57.39839928130967,174.603634146787,197.1266565567975,-3.6460718160685834,9.381533400219318e-05,202.6
3,5,50.538163098887665,174.55128050592486,197.08073635279723,-3.643907484569337,9.045084971874738e-05,203.0
3,6,44.192876277913335,174.49212955706753,197.02250073280698,-3.6411634226168124,8.644843137107059e-05,208.6
3,7,38.26165615071542,174.45146389829523,196.9866186682949,-3.6394730638004322,8.18711994874345e-05,208.3
3,8,33.10737832230762,174.50120520570394,197.0273477906411,-3.6413917850034583,7.679133974894983e-05,208.3
3,9,28.788354097996425,174.48253286221023,197.0127525523835,-3.6407041676687983,7.128896457825363e-05,204.1
3,10,25.17396963827292,174.32789456649772,196.86955228715044,-3.6339603549728583,6.545084971874737e-05,202.9
3,11,22.530105240556313,174.34204944325498,196.87885303356472,-3.634398211489814,5.936906572928624e-05,203.5
3,12,20.613046214104553,174.32785375743242,196.8673241013231,-3.633855460475603,5.313952597646568e-05,206.9
3,13,18.73837678904179,174.3463224083741,196.88145136841885,-3.634520538470862,4.6860474023534335e-05,203.6
3,14,17.065426619381594,174.35158038671287,196.89259927445602,-3.63504538895155,4.0630934270713774e-05,203.9
3,15,15.913845316949654,174.2808558709033,196.83116997759424,-3.6321536280262965,3.454915028125265e-05,215.3
3,16,14.71598180272052,174.29815062269398,196.8476666052773,-3.6329301119133586,2.871103542174637e-05,204.1
3,17,13.825842006407152,174.20084225939354,196.75110022762365,-3.6283857294374178,2.3208660251050158e-05,207.8
3,18,13.033296277881629,174.22818809516116,196.78035400588868,-3.6297621673373985,1.8128800512565513e-05,208.9
3,19,12.491599649511071,174.0996436278376,196.67108277385324,-3.6246218233565966,1.3551568628929434e-05,203.9
3,20,11.926379687010227,174.12136149962754,196.69250804820135,-3.625629487391387,9.549150281252635e-06,202.8
3,21,11.554159582568367,174.0867128578917,196.65534001938036,-3.6238814870446348,6.184665997806822e-06,202.9
3,22,11.297678216718197,174.19617284153574,196.75535849617555,-3.6285860751803813,3.5111757055874332e-06,202.8
3,23,11.126091629240058,174.07632735037177,196.64701628027038,-3.6234900695663343,1.570841943568452e-06,204.2
3,24,10.982784764486013,174.0605018954522,196.63419570589778,-3.6228872242534464,3.942649342761118e-07,202.9
3,25,11.043185129694994,174.04958758460074,196.62467021930857,-3.6224393450480283,0.0,203.5
