image_path,source,aqi,pm25,pm10,aqi_category,aqi_soft,day_night,depth_path,has_aqi,has_pm25,has_pm10,notes,aqi_bin,sample_weight,depth_available,exists
/Users/nesar/VS/Image-only/data/TRAQID_sample/Images/11201.jpg,TRAQID,77.05666667,46.234,63.6682,Satisfactory,77.05666667,Day,,True,True,True,,1,0.1,False,False
/Users/nesar/VS/Image-only/data/TRAQID_sample/Images/11202.jpg,TRAQID,95.24833333,57.149,69.634,Satisfactory,95.24833333,Day,,True,True,True,,1,0.1,False,False
/Users/nesar/VS/Image-only/data/TRAQID_sample/Images/11203.jpg,TRAQID,96.72333333,58.034,67.6128,Satisfactory,96.72333333,Day,,True,True,True,,1,0.1,False,False
/Users/nesar/VS/Image-only/data/TRAQID_sample/Images/11204.jpg,TRAQID,94.65833333,56.795,63.8312,Satisfactory,94.65833333,Day,,True,True,True,,1,0.1,False,False
/Users/nesar/VS/Image-only/data/TRAQID_sample/Images/11205.jpg,TRAQID,93.18333333,55.91,62.462,Satisfactory,93.18333333,Day,,True,True,True,,1,0.1,False,False
/Users/nesar/VS/Image-only/data/TRAQID_sample/Images/11206.jpg,TRAQID,77.05666667,46.234,56.8222,Satisfactory,77.05666667,Day,,True,True,True,,1,0.1,False,False
/Users/nesar/VS/Image-only/data/TRAQID_sample/Images/11207.jpg,TRAQID,58.07833333,34.847,50.4652,Satisfactory,58.07833333,Day,,True,True,True,,1,0.1,False,False
/Users/nesar/VS/Image-only/data/TRAQID_sample/Images/11208.jpg,TRAQID,58.76666667,35.26,49.3894,Satisfactory,58.76666667,Day,,True,True,True,,1,0.1,False,False
/Users/nesar/VS/Image-only/data/TRAQID_sample/Images/11209.jpg,TRAQID,61.12666667,36.676,49.7806,Satisfactory,61.12666667,Day,,True,True,True,,1,0.1,False,False
/Users/nesar/VS/Image-only/data/TRAQID_sample/Images/11210.jpg,TRAQID,64.37166667,38.623,52.2582,Satisfactory,64.37166667,Day,,True,True,True,,1,0.1,False,False
/Users/nesar/VS/Image-only/data/TRAQID_sample/Images/11211.jpg,TRAQID,66.535,39.921,54.964,Satisfactory,66.535,Day,,True,True,True,,1,0.1,False,False
/Users/nesar/VS/Image-only/data/TRAQID_sample/Images/11212.jpg,TRAQID,69.38666667,41.632,56.8548,Satisfactory,69.38666667,Day,,True,True,True,,1,0.1,False,False
/Users/nesar/VS/Image-only/data/TRAQID_sample/Images/11213.jpg,TRAQID,73.71333333,44.228,60.8646,Satisfactory,73.71333333,Day,,True,True,True,,1,0.1,False,False
/Users/nesar/VS/Image-only/data/TRAQID_sample/Images/11214.jpg,TRAQID,90.33166667,54.199,66.1132,Satisfactory,90.33166667,Day,,True,True,True,,1,0.1,False,False
/Users/nesar/VS/Image-only/data/TRAQID_sample/Images/11215.jpg,TRAQID,96.92,58.152,67.6454,Satisfactory,96.92,Day,,True,True,True,,1,0.1,False,False
/Users/nesar/VS/Image-only/data/TRAQID_sample/Images/11216.jpg,TRAQID,94.16666667,56.5,64.092,Satisfactory,94.16666667,Day,,True,True,True,,1,0.1,False,False
/Users/nesar/VS/Image-only/data/TRAQID_sample/Images/11217.jpg,TRAQID,93.57666667,56.146,59.8866,Satisfactory,93.57666667,Day,,True,True,True,,1,0.1,False,False
/Users/nesar/VS/Image-only/data/TRAQID_sample/Images/11218.jpg,TRAQID,76.66333333,45.998,54.0186,Satisfactory,76.66333333,Day,,True,True,True,,1,0.1,False,False
/Users/nesar/VS/Image-only/data/TRAQID_sample/Images/11219.jpg,TRAQID,70.37,42.222,51.7692,Satisfactory,70.37,Day,,True,True,True,,1,0.1,False,False
/Users/nesar/VS/Image-only/data/TRAQID_sample/Images/11220.jpg,TRAQID,68.40333333,41.042,52.03,Satisfactory,68.40333333,Day,,True,True,True,,1,0.1,False,False
/Users/nesar/VS/Image-only/data/TRAQID_sample/Images/11221.jpg,TRAQID,68.01,40.806,52.7472,Satisfactory,68.01,Day,,True,True,True,,1,0.1,False,False
/Users/nesar/VS/Image-only/data/TRAQID_sample/Images/11222.jpg,TRAQID,63.88,38.328,52.0952,Satisfactory,63.88,Day,,True,True,True,,1,0.1,False,False
/Users/nesar/VS/Image-only/data/TRAQID_sample/Images/11223.jpg,TRAQID,63.68333333,38.21,53.4318,Satisfactory,63.68333333,Day,,True,True,True,,1,0.1,False,False
/Users/nesar/VS/Image-only/data/TRAQID_sample/Images/11224.jpg,TRAQID,65.25666667,39.154,53.3992,Satisfactory,65.25666667,Day,,True,True,True,,1,0.1,False,False
/Users/nesar/VS/Image-only/data/TRAQID_sample/Images/11225.jpg,TRAQID,65.355,39.213,53.8882,Satisfactory,65.355,Day,,True,True,True,,1,0.1,False,False
/Users/nesar/VS/Image-only/data/TRAQID_sample/Images/11226.jpg,TRAQID,63.585,38.151,53.5622,Satisfactory,63.585,Day,,True,True,True,,1,0.1,False,False
/Users/nesar/VS/Image-only/data/TRAQID_sample/Images/11227.jpg,TRAQID,63.48666667,38.092,54.4424,Satisfactory,63.48666667,Day,,True,True,True,,1,0.1,False,False
/Users/nesar/VS/Image-only/data/TRAQID_sample/Images/11228.jpg,TRAQID,62.01166667,37.207,53.2362,Satisfactory,62.01166667,Day,,True,True,True,,1,0.1,False,False
/Users/nesar/VS/Image-only/data/TRAQID_sample/Images/11229.jpg,TRAQID,60.24166667,36.145,51.8018,Satisfactory,60.24166667,Day,,True,True,True,,1,0.1,False,False
/Users/nesar/VS/Image-only/data/TRAQID_sample/Images/11230.jpg,TRAQID,59.65166667,35.791,51.1172,Satisfactory,59.65166667,Day,,True,True,True,,1,0.1,False,False
/Users/nesar/VS/Image-only/data/TRAQID_sample/Images/11231.jpg,TRAQID,62.20833333,37.325,50.4326,Satisfactory,62.20833333,Day,,True,True,True,,1,0.1,False,False
/Users/nesar/VS/Image-only/data/TRAQID_sample/Images/11232.jpg,TRAQID,62.50333333,37.502,49.8458,Satisfactory,62.50333333,Day,,True,True,True,,1,0.1,False,False
/Users/nesar/VS/Image-only/data/TRAQID_sample/Images/11233.jpg,TRAQID,63.585,38.151,52.9102,Satisfactory,63.585,Day,,True,True,True,,1,0.1,False,False
/Users/nesar/VS/Image-only/data/TRAQID_sample/Images/11234.jpg,TRAQID,63.29,37.974,54.7684,Satisfactory,63.29,Day,,True,True,True,,1,0.1,False,False
/Users/nesar/VS/Image-only/data/TRAQID_sample/Images/11235.jpg,TRAQID,60.93,36.558,55.0618,Satisfactory,60.93,Day,,True,True,True,,1,0.1,False,False
