image_path,lat,lon,city,country,timestamp,aqi,pm25,pm10,temp,humidity,wind,satellite_path,news,source_dataset,orig_path
data/images/128/Data_Distribution_2025-11-18_16-07-22_5df62076.jpg,,,,,,,,,,,,,,Air Pollution Image Dataset,/Users/nesar/VS/airvana-litefusion/data/kaggle/Air Pollution Image Dataset/Air Pollution Image Dataset/Data Distribution.png
data/images/128/Dimapur_MOD_2023-02-10-08.30-2-20_2025-11-18_16-07-22_69ae8f12.jpg,,,,,,100.0,,,,,,,,Dimapur,/Users/nesar/VS/airvana-litefusion/data/kaggle/Air Pollution Image Dataset/Air Pollution Image Dataset/Country_wise_Dataset/India/Dimapur/b_Moderate/Dimapur_MOD_2023-02-10-08.30-2-20.jpg
data/images/128/Dimapur_MOD_2023-02-10-08.30-2-34_2025-11-18_16-07-22_7278201a.jpg,,,,,,100.0,,,,,,,,Dimapur,/Users/nesar/VS/airvana-litefusion/data/kaggle/Air Pollution Image Dataset/Air Pollution Image Dataset/Country_wise_Dataset/India/Dimapur/b_Moderate/Dimapur_MOD_2023-02-10-08.30-2-34.jpg
data/images/128/Dimapur_MOD_2023-02-10-08.30-2-35_2025-11-18_16-07-22_03285a7a.jpg,,,,,,100.0,,,,,,,,Dimapur,/Users/nesar/VS/airvana-litefusion/data/kaggle/Air Pollution Image Dataset/Air Pollution Image Dataset/Country_wise_Dataset/India/Dimapur/b_Moderate/Dimapur_MOD_2023-02-10-08.30-2-35.jpg
data/images/128/Dimapur_MOD_2023-02-10-08.30-2-21_2025-11-18_16-07-22_3e8aac9d.jpg,,,,,,100.0,,,,,,,,Dimapur,/Users/nesar/VS/airvana-litefusion/data/kaggle/Air Pollution Image Dataset/Air Pollution Image Dataset/Country_wise_Dataset/India/Dimapur/b_Moderate/Dimapur_MOD_2023-02-10-08.30-2-21.jpg
data/images/128/Dimapur_MOD_2023-02-10-08.30-2-37_2025-11-18_16-07-22_a16d19aa.jpg,,,,,,100.0,,,,,,,,Dimapur,/Users/nesar/VS/airvana-litefusion/data/kaggle/Air Pollution Image Dataset/Air Pollution Image Dataset/Country_wise_Dataset/India/Dimapur/b_Moderate/Dimapur_MOD_2023-02-10-08.30-2-37.jpg
data/images/128/Dimapur_MOD_2023-02-10-08.30-2-23_2025-11-18_16-07-22_e3ba7f5d.jpg,,,,,,100.0,,,,,,,,Dimapur,/Users/nesar/VS/airvana-litefusion/data/kaggle/Air Pollution Image Dataset/Air Pollution Image Dataset/Country_wise_Dataset/India/Dimapur/b_Moderate/Dimapur_MOD_2023-02-10-08.30-2-23.jpg
data/images/128/Dimapur_MOD_2023-02-10-08.30-1-9_2025-11-18_16-07-22_74a8aaad.jpg,,,,,,100.0,,,,,,,,Dimapur,/Users/nesar/VS/airvana-litefusion/data/kaggle/Air Pollution Image Dataset/Air Pollution Image Dataset/Country_wise_Dataset/India/Dimapur/b_Moderate/Dimapur_MOD_2023-02-10-08.30-1-9.jpg
data/images/128/Dimapur_MOD_2023-02-10-08.30-1-8_2025-11-18_16-07-22_786a69a3.jpg,,,,,,100.0,,,,,,,,Dimapur,/Users/nesar/VS/airvana-litefusion/data/kaggle/Air Pollution Image Dataset/Air Pollution Image Dataset/Country_wise_Dataset/India/Dimapur/b_Moderate/Dimapur_MOD_2023-02-10-08.30-1-8.jpg
data/images/128/Dimapur_MOD_2023-02-10-08.30-2-22_2025-11-18_16-07-22_0c24c507.jpg,,,,,,100.0,,,,,,,,Dimapur,/Users/nesar/VS/airvana-litefusion/data/kaggle/Air Pollution Image Dataset/Air Pollution Image Dataset/Country_wise_Dataset/India/Dimapur/b_Moderate/Dimapur_MOD_2023-02-10-08.30-2-22.jpg
