city,state,timestamp,CO,NH3,NO2,OZONE,PM10,PM2.5,SO2,Image,Day_or_Night,aqi_label
Delhi,Delhi,2025-05-19 10:00:00,44.473684210526315,10.03225806451613,42.0,41.10526315789474,172.7941176470588,145.77142857142857,17.40625,11201,Day,77.05666667
Delhi,Delhi,2025-05-19 10:00:00,44.473684210526315,10.03225806451613,42.0,41.10526315789474,172.7941176470588,145.77142857142857,17.40625,11202,Day,95.24833333
Delhi,Delhi,2025-05-19 10:00:00,44.473684210526315,10.03225806451613,42.0,41.10526315789474,172.7941176470588,145.77142857142857,17.40625,11203,Day,96.72333333
Delhi,Delhi,2025-05-19 10:00:00,44.473684210526315,10.03225806451613,42.0,41.10526315789474,172.7941176470588,145.77142857142857,17.40625,11204,Day,94.65833333
Delhi,Delhi,2025-05-19 10:00:00,44.473684210526315,10.03225806451613,42.0,41.10526315789474,172.7941176470588,145.77142857142857,17.40625,11205,Day,93.18333333
Delhi,Delhi,2025-05-19 10:00:00,44.473684210526315,10.03225806451613,42.0,41.10526315789474,172.7941176470588,145.77142857142857,17.40625,11206,Day,77.05666667
Delhi,Delhi,2025-05-19 10:00:00,44.473684210526315,10.03225806451613,42.0,41.10526315789474,172.7941176470588,145.77142857142857,17.40625,11207,Day,58.07833333
Delhi,Delhi,2025-05-19 10:00:00,44.473684210526315,10.03225806451613,42.0,41.10526315789474,172.7941176470588,145.77142857142857,17.40625,11208,Day,58.76666667
Delhi,Delhi,2025-05-19 10:00:00,44.473684210526315,10.03225806451613,42.0,41.10526315789474,172.7941176470588,145.77142857142857,17.40625,11209,Day,61.12666667
Delhi,Delhi,2025-05-19 10:00:00,44.473684210526315,10.03225806451613,42.0,41.10526315789474,172.7941176470588,145.77142857142857,17.40625,11210,Day,64.37166667
Delhi,Delhi,2025-05-19 10:00:00,44.473684210526315,10.03225806451613,42.0,41.10526315789474,172.7941176470588,145.77142857142857,17.40625,11211,Day,66.535
Delhi,Delhi,2025-05-19 10:00:00,44.473684210526315,10.03225806451613,42.0,41.10526315789474,172.7941176470588,145.77142857142857,17.40625,11212,Day,69.38666667
Delhi,Delhi,2025-05-19 10:00:00,44.473684210526315,10.03225806451613,42.0,41.10526315789474,172.7941176470588,145.77142857142857,17.40625,11213,Day,73.71333333
Delhi,Delhi,2025-05-19 10:00:00,44.473684210526315,10.03225806451613,42.0,41.10526315789474,172.7941176470588,145.77142857142857,17.40625,11214,Day,90.33166667
Delhi,Delhi,2025-05-19 10:00:00,44.473684210526315,10.03225806451613,42.0,41.10526315789474,172.7941176470588,145.77142857142857,17.40625,11215,Day,96.92
Delhi,Delhi,2025-05-19 10:00:00,44.473684210526315,10.03225806451613,42.0,41.10526315789474,172.7941176470588,145.77142857142857,17.40625,11216,Day,94.16666667
