fold,epoch,train_loss,val_mae,aqi_rmse,aqi_r2,lr,time_s
1,1,105.19894873637008,174.61734507241164,197.72199302300908,-3.5439235413576915,9.96057350657239e-05,211.4
1,2,79.8825923899187,174.61612025813156,197.70144903568115,-3.542979332203026,9.842915805643155e-05,206.6
1,3,66.21765510845952,174.48387386378602,197.5844750240873,-3.5376050336347236,9.648882429441257e-05,209.6
1,4,57.313344858113204,174.4871516942386,197.59152635957966,-3.5379289127892486,9.381533400219318e-05,210.4
1,5,49.856626636126045,174.50131726144272,197.6142856370486,-3.538974361784322,9.045084971874738e-05,202.1
1,6,42.64077554905959,174.45174491745476,197.5729687346757,-3.537076556116456,8.644843137107059e-05,208.1
1,7,36.615062208611086,174.48854039660057,197.6007528788699,-3.538352719082609,8.18711994874345e-05,209.1
1,8,31.69471674810698,174.55343097906484,197.6520465637491,-3.540709178203313,7.679133974894983e-05,208.6
1,9,27.31348864671473,174.3946558298728,197.50678681193045,-3.5340374545609192,7.128896457825363e-05,208.7
1,10,23.83799388372375,174.58667913149569,197.6859360073052,-3.54226641277181,6.545084971874737e-05,203.7
1,11,21.676550689080834,174.49881877288925,197.59971379050225,-3.5383049891316745,5.936906572928624e-05,202.9
1,12,19.943644687013105,174.55673741723348,197.65240670034515,-3.540725725231945,5.313952597646568e-05,202.8
1,13,18.23388514416284,174.44182651651002,197.54711846200195,-3.535889379609899,4.6860474023534335e-05,203.0
1,14,16.903178151633554,174.53702251074418,197.62878321307085,-3.5396403717284386,4.0630934270713774e-05,202.7
1,15,15.612948200055927,174.4638807768878,197.56559528479835,-3.536737913815961,3.454915028125265e-05,202.7
1,16,14.51025044240371,174.5156880036502,197.61693727023348,-3.5390961725709564,2.871103542174637e-05,202.9
