image_path,original_path,scenario,weather_class,description,is_negative,AQI
/Users/nesar/VS/V1/negative_examples/motion_blur/motion_blur_0000.JPG,/Users/nesar/VS/V1/blur/motion_blurred/101_NIKON-D3400-35MM_M.JPG,motion_blur,6,Camera motion blur,True,
/Users/nesar/VS/V1/negative_examples/motion_blur/motion_blur_0001.jpg,/Users/nesar/VS/V1/blur/motion_blurred/257_HONOR-9_M.jpg,motion_blur,6,Camera motion blur,True,
/Users/nesar/VS/V1/negative_examples/motion_blur/motion_blur_0002.jpg,/Users/nesar/VS/V1/blur/motion_blurred/211_SAMSUNG-GALAXY-7-NEO_M.jpg,motion_blur,6,Camera motion blur,True,
/Users/nesar/VS/V1/negative_examples/motion_blur/motion_blur_0003.jpg,/Users/nesar/VS/V1/blur/motion_blurred/79_HUAWEI-P30-PRO_M.jpg,motion_blur,6,Camera motion blur,True,
/Users/nesar/VS/V1/negative_examples/motion_blur/motion_blur_0004.jpg,/Users/nesar/VS/V1/blur/motion_blurred/97_HONOR-7X_M.jpg,motion_blur,6,Camera motion blur,True,
/Users/nesar/VS/V1/negative_examples/motion_blur/motion_blur_0005.jpg,/Users/nesar/VS/V1/blur/motion_blurred/315_HUAWEI-NOVA-LITE_M.jpg,motion_blur,6,Camera motion blur,True,
/Users/nesar/VS/V1/negative_examples/motion_blur/motion_blur_0006.jpg,/Users/nesar/VS/V1/blur/motion_blurred/337_XIAOMI-PROCOFONE-F1_M.jpg,motion_blur,6,Camera motion blur,True,
/Users/nesar/VS/V1/negative_examples/motion_blur/motion_blur_0007.jpg,/Users/nesar/VS/V1/blur/motion_blurred/85_HONOR-8X_M.jpg,motion_blur,6,Camera motion blur,True,
/Users/nesar/VS/V1/negative_examples/motion_blur/motion_blur_0008.JPG,/Users/nesar/VS/V1/blur/motion_blurred/267_SONY-NEX-5T_M.JPG,motion_blur,6,Camera motion blur,True,
/Users/nesar/VS/V1/negative_examples/motion_blur/motion_blur_0009.jpg,/Users/nesar/VS/V1/blur/motion_blurred/182_HONOR-10_M.jpg,motion_blur,6,Camera motion blur,True,
/Users/nesar/VS/V1/negative_examples/motion_blur/motion_blur_0010.JPG,/Users/nesar/VS/V1/blur/motion_blurred/274_NIKON-D3400-18-55MM_M.JPG,motion_blur,6,Camera motion blur,True,
/Users/nesar/VS/V1/negative_examples/motion_blur/motion_blur_0011.jpg,/Users/nesar/VS/V1/blur/motion_blurred/305_HONOR-9_M.jpg,motion_blur,6,Camera motion blur,True,
/Users/nesar/VS/V1/negative_examples/motion_blur/motion_blur_0012.jpg,/Users/nesar/VS/V1/blur/motion_blurred/74_HONOR-8X_M.jpg,motion_blur,6,Camera motion blur,True,
/Users/nesar/VS/V1/negative_examples/motion_blur/motion_blur_0013.jpg,/Users/nesar/VS/V1/blur/motion_blurred/156_HUAWEI-P30-LITE_M.jpg,motion_blur,6,Camera motion blur,True,
/Users/nesar/VS/V1/negative_examples/motion_blur/motion_blur_0014.jpg,/Users/nesar/VS/V1/blur/motion_blurred/206_IPHONE-7_M.jpg,motion_blur,6,Camera motion blur,True,
/Users/nesar/VS/V1/negative_examples/motion_blur/motion_blur_0015.jpg,/Users/nesar/VS/V1/blur/motion_blurred/50_HONOR-8X_M.jpg,motion_blur,6,Camera motion blur,True,
/Users/nesar/VS/V1/negative_examples/motion_blur/motion_blur_0016.jpg,/Users/nesar/VS/V1/blur/motion_blurred/320_HONOR-7X_M.jpg,motion_blur,6,Camera motion blur,True,
/Users/nesar/VS/V1/negative_examples/motion_blur/motion_blur_0017.jpeg,/Users/nesar/VS/V1/blur/motion_blurred/40_IPHONE-6S_M.jpeg,motion_blur,6,Camera motion blur,True,
/Users/nesar/VS/V1/negative_examples/motion_blur/motion_blur_0018.JPG,/Users/nesar/VS/V1/blur/motion_blurred/301_NIKON-D3400-35MM_M.JPG,motion_blur,6,Camera motion blur,True,
/Users/nesar/VS/V1/negative_examples/motion_blur/motion_blur_0019.jpg,/Users/nesar/VS/V1/blur/motion_blurred/214_IPHONE-SE_M.jpg,motion_blur,6,Camera motion blur,True,
/Users/nesar/VS/V1/negative_examples/motion_blur/motion_blur_0020.JPG,/Users/nesar/VS/V1/blur/motion_blurred/42_NIKON-D3400-35MM_M.JPG,motion_blur,6,Camera motion blur,True,
/Users/nesar/VS/V1/negative_examples/motion_blur/motion_blur_0021.jpg,/Users/nesar/VS/V1/blur/motion_blurred/5_XIAOMI-PROCOFONE-F1_M.jpg,motion_blur,6,Camera motion blur,True,
/Users/nesar/VS/V1/negative_examples/motion_blur/motion_blur_0022.JPG,/Users/nesar/VS/V1/blur/motion_blurred/190_NIKON-D3400-18-55MM_M.JPG,motion_blur,6,Camera motion blur,True,
/Users/nesar/VS/V1/negative_examples/motion_blur/motion_blur_0023.jpg,/Users/nesar/VS/V1/blur/motion_blurred/128_XIAOMI-MI8-SE_M.jpg,motion_blur,6,Camera motion blur,True,
/Users/nesar/VS/V1/negative_examples/motion_blur/motion_blur_0024.jpg,/Users/nesar/VS/V1/blur/motion_blurred/230_NOKIA-21_M.jpg,motion_blur,6,Camera motion blur,True,
/Users/nesar/VS/V1/negative_examples/motion_blur/motion_blur_0025.jpg,/Users/nesar/VS/V1/blur/motion_blurred/192_XIAOMI-MI8-SE_M.jpg,motion_blur,6,Camera motion blur,True,
/Users/nesar/VS/V1/negative_examples/motion_blur/motion_blur_0026.JPG,/Users/nesar/VS/V1/blur/motion_blurred/139_NIKON-D3400-18-55MM_M.JPG,motion_blur,6,Camera motion blur,True,
/Users/nesar/VS/V1/negative_examples/motion_blur/motion_blur_0027.jpg,/Users/nesar/VS/V1/blur/motion_blurred/165_SAMSUNG-GALAXY-J3_M.jpg,motion_blur,6,Camera motion blur,True,
/Users/nesar/VS/V1/negative_examples/motion_blur/motion_blur_0028.jpg,/Users/nesar/VS/V1/blur/motion_blurred/185_HONOR-6X_M.jpg,motion_blur,6,Camera motion blur,True,
/Users/nesar/VS/V1/negative_examples/motion_blur/motion_blur_0029.jpg,/Users/nesar/VS/V1/blur/motion_blurred/197_HUAWEI-P20-LITE_M.jpg,motion_blur,6,Camera motion blur,True,
/Users/nesar/VS/V1/negative_examples/motion_blur/motion_blur_0030.JPG,/Users/nesar/VS/V1/blur/motion_blurred/0_IPHONE-SE_M.JPG,motion_blur,6,Camera motion blur,True,
/Users/nesar/VS/V1/negative_examples/motion_blur/motion_blur_0031.jpg,/Users/nesar/VS/V1/blur/motion_blurred/200_HUAWEI-MATE20_M.jpg,motion_blur,6,Camera motion blur,True,
/Users/nesar/VS/V1/negative_examples/motion_blur/motion_blur_0032.JPG,/Users/nesar/VS/V1/blur/motion_blurred/106_NIKON-D3400-35MM_M.JPG,motion_blur,6,Camera motion blur,True,
/Users/nesar/VS/V1/negative_examples/motion_blur/motion_blur_0033.jpg,/Users/nesar/VS/V1/blur/motion_blurred/336_ASUS-ZENFONE-LIVE-ZB501KL_M.jpg,motion_blur,6,Camera motion blur,True,
/Users/nesar/VS/V1/negative_examples/motion_blur/motion_blur_0034.jpg,/Users/nesar/VS/V1/blur/motion_blurred/51_IPHONE-SE_M.jpg,motion_blur,6,Camera motion blur,True,
/Users/nesar/VS/V1/negative_examples/motion_blur/motion_blur_0035.jpg,/Users/nesar/VS/V1/blur/motion_blurred/3_HUAWEI-NOVA-LITE_M.jpg,motion_blur,6,Camera motion blur,True,
/Users/nesar/VS/V1/negative_examples/motion_blur/motion_blur_0036.JPG,/Users/nesar/VS/V1/blur/motion_blurred/150_NIKON-D3400-18-55MM_M.JPG,motion_blur,6,Camera motion blur,True,
/Users/nesar/VS/V1/negative_examples/motion_blur/motion_blur_0037.JPG,/Users/nesar/VS/V1/blur/motion_blurred/298_NIKON-D3400-35MM_M.JPG,motion_blur,6,Camera motion blur,True,
/Users/nesar/VS/V1/negative_examples/motion_blur/motion_blur_0038.jpg,/Users/nesar/VS/V1/blur/motion_blurred/261_HONOR-10_M.jpg,motion_blur,6,Camera motion blur,True,
/Users/nesar/VS/V1/negative_examples/motion_blur/motion_blur_0039.jpg,/Users/nesar/VS/V1/blur/motion_blurred/72_IPHONE-8_M.jpg,motion_blur,6,Camera motion blur,True,
